Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
21;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9647052;30/07/2026;29/07/2026 10:57:43;;0;31878;6057;;;37935;;;;;0;;;;0;;;;
22;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3600933;30/07/2026;29/07/2026 17:06:19;;0;100537;19102;;;119639;;;;;0;;;;0;;;;
23;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;13421;30/07/2026;29/07/2026 17:58:28;;0;18250;3468;;;21718;;;;;0;;;;0;;;;
24;33;Del Giro;83614800-2;ARIZTIA COMERCIAL LTDA.;38997537;29/07/2026;30/07/2026 02:20:42;;0;54800;10412;;;65212;;;;;0;;;;0;;;;
25;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;970742;30/07/2026;30/07/2026 08:14:39;;0;44559;8466;;;53025;;;;;0;;;;0;;;;
26;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;21261;22/07/2026;30/07/2026 10:32:03;;0;4454;846;;;5300;;;;;0;;;;0;;;;
27;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;21278;23/07/2026;30/07/2026 10:34:46;;0;4454;846;;;5300;;;;;0;;;;0;;;;
28;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;21301;24/07/2026;30/07/2026 10:38:48;;0;4454;846;;;5300;;;;;0;;;;0;;;;
29;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;21317;25/07/2026;30/07/2026 10:41:17;;0;11134;2115;;;13249;;;;;0;;;;0;;;;
30;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;21348;27/07/2026;30/07/2026 10:45:56;;0;4454;846;;;5300;;;;;0;;;;0;;;;
31;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;21364;28/07/2026;30/07/2026 10:48:24;;0;4454;846;;;5300;;;;;0;;;;0;;;;
32;33;Del Giro;76022693-9;COMERCIAL FRUTALVENTO LIMITADA;2089;30/07/2026;30/07/2026 11:39:59;;0;36653;6964;;;43617;;;;;0;;;;0;;;;
33;33;Del Giro;76711136-3;PANIFICADORA OLFOS Y ANDREANI SOCIEDAD POR ACCIONES;21384;29/07/2026;30/07/2026 13:20:41;;0;4454;846;;;5300;;;;;0;;;;0;;;;
34;33;Del Giro;77271001-1;RINCON NATIVO SPA;2813;30/07/2026;30/07/2026 15:41:43;;0;12921;2455;;;15376;;;;;0;;;;0;;;;
35;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5720220;31/07/2026;31/07/2026 02:51:34;;0;101595;19303;;;120898;;;;;0;;;;0;;;;
36;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9653336;01/08/2026;31/07/2026 10:25:28;;0;128312;24379;;;152691;;;;;0;;;;0;;;;
37;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8324;25/07/2026;31/07/2026 11:25:40;;0;36935;7018;;;43953;;;;;0;;;;0;;;;
38;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8325;28/07/2026;31/07/2026 11:30:45;;0;42983;8167;;;51150;;;;;0;;;;0;;;;
39;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;13473;01/08/2026;31/07/2026 17:28:07;;0;24750;4703;;;29453;;;;;0;;;;0;;;;
40;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5721525;01/08/2026;01/08/2026 02:57:28;;0;24210;4600;;;28810;;;;;0;;;;0;;;;
41;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;102244934;01/08/2026;01/08/2026 08:46:24;;0;243992;46359;;;290351;;;;;0;;;;0;;;;
42;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;102244942;01/08/2026;01/08/2026 08:59:45;;0;367350;69797;;;437147;;;;;0;;;;0;;;;
43;33;Del Giro;76168557-0;Distribuidora Arizona Limitada;1252982;01/08/2026;01/08/2026 10:05:24;;0;66240;12586;;;78826;;;;;0;;;;0;;;;
744;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8332;01/08/2026;01/08/2026 10:13:19;;0;39565;7517;;;47082;;;;;0;;;;0;;;;
45;33;Del Giro;91004000-6;PRODUCTOS FERNANDEZ S.A.;41203328;01/08/2026;01/08/2026 18:27:42;;0;197820;37586;;;245297;;;;;0;;;;0;18;9891;5;
46;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;27394529;02/08/2026;02/08/2026 11:34:29;;0;42992;8170;;;52730;;;;;0;;;;0;24;1568;31.5;
47;33;Del Giro;76029743-7;Alvi Supermercado Mayorista S.A;1833803;02/08/2026;02/08/2026 16:38:28;;0;92723;17617;;;110340;;;;;0;;;;0;;;;
48;33;Del Giro;76828790-2;MULTICAJA SA;2991671;31/07/2026;02/08/2026 21:54:45;;0;27230;5174;;;32404;;;;;0;;;;0;;;;
749;33;Del Giro;91443000-3;Marsol S.A.;726001;03/08/2026;03/08/2026 11:01:55;;0;154000;29260;;;183260;;;;;0;;;;0;;;;
50;33;Del Giro;76211425-9;Delivery Hero E-Commerce Chile SPA;3303397;03/08/2026;03/08/2026 11:16:24;;0;9264;1760;;;11024;;;;;0;;;;0;;;;
51;33;Del Giro;96689310-9;Transbank S.A;58362129;30/07/2026;03/08/2026 12:41:25;;0;456719;86777;;;543496;;;;;0;;;;0;;;;
52;33;Del Giro;76035156-3;PUBLICIDAD PRODUCCIONES E INVERS. MACHINE LTDA;3777;03/08/2026;03/08/2026 15:10:51;;0;49302;8371;;;57673;;;;;0;;;;0;;;;
53;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;102244977;04/08/2026;04/08/2026 08:29:54;;0;67296;12786;;;80082;;;;;0;;;;0;;;;
54;33;Del Giro;77398220-1;MercadoLibre Chile LTDA;14493064;05/08/2026;05/08/2026 13:03:54;;0;14185;2695;;;16880;;;;;0;;;;0;;;;
55;33;Del Giro;99017000-2;SEGUROS GENERALES SURAMERICANA S.A.;8327865;05/08/2026;06/08/2026 04:15:00;;11800;40882;7768;;;60450;;;;;0;;;;0;;;;
56;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;102245054;06/08/2026;06/08/2026 10:11:46;;0;200136;38026;;;238162;;;;;0;;;;0;;;;
57;33;Del Giro;83768600-8;PLASTICOS EL SALTO SPA;82311;06/08/2026;06/08/2026 12:57:15;;0;29688;5641;;;35329;;;;;0;;;;0;;;;
58;33;Del Giro;77137860-9;Comercial K SpA;1529691;06/08/2026;06/08/2026 21:32:06;;0;90732;17239;;;107971;;;;;0;;;;0;;;;
59;33;Del Giro;83768600-8;PLASTICOS EL SALTO SPA;82351;07/08/2026;07/08/2026 13:17:19;;0;1448;275;;;1723;;;;;0;;;;0;;;;
760;33;Del Giro;77010813-6;MR. LUNCH SPA;76;07/08/2026;07/08/2026 20:51:10;;0;53193;10107;;;63300;;;;;0;;;;0;;;;
61;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;102245140;08/08/2026;08/08/2026 09:53:02;;0;269112;51131;;;320243;;;;;0;;;;0;;;;
62;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;27418984;08/08/2026;08/08/2026 11:12:33;;0;10831;2058;;;12889;;;;;0;;;;0;;;;
63;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;27432488;09/08/2026;09/08/2026 12:06:30;;0;97698;18561;;;118147;;;;;0;;;;0;27;1888;10;
64;33;Del Giro;76211425-9;Delivery Hero E-Commerce Chile SPA;3315506;10/08/2026;10/08/2026 14:10:54;;0;8731;1658;;;10389;;;;;0;;;;0;;;;
65;61;Del Giro;96689310-9;TRANSBANK S.A.;12577135;31/07/2026;04/08/2026 10:15:48;;0;13750;2612;;;16362;;;;;0;;;;0;;;;
66;61;Del Giro;96689310-9;TRANSBANK S.A.;12545163;31/07/2026;04/08/2026 11:20:44;;0;28716;5456;;;34172;;;;;0;;;;0;;;;
