Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto;SITUACION
37;33;Del Giro;76828790-2;MULTICAJA SA;2996932;31/08/2026;03/09/2026 03:18:45;;0;27249;5177;;;32426;;;;;0;;;;0;;;;Registro
38;33;Del Giro;77398220-1;MercadoLibre Chile LTDA;14911697;03/09/2026;03/09/2026 06:24:27;;0;32345;6145;;;38490;;;;;0;;;;0;;;;Registro
39;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;102448201;03/09/2026;03/09/2026 09:22:44;;0;343715;65306;;;409021;;;;;0;;;;0;;;;Registro
40;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;102448289;05/09/2026;05/09/2026 09:40:47;;0;280676;53329;;;334005;;;;;0;;;;0;;;;Registro
41;33;Del Giro;76894221-8;DISTRIBUIDORA LAGOMARSINO SPA;2997;06/09/2026;06/09/2026 12:54:23;;0;13866;2635;;;16501;;;;;0;;;;0;;;;Registro
42;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;27644792;06/09/2026;06/09/2026 12:55:21;;0;88564;16830;;;105394;;;;;0;;;;0;;;;Registro
43;33;Del Giro;83768600-8;PLASTICOS EL SALTO SPA;83169;07/09/2026;07/09/2026 11:41:56;;0;31706;6024;;;37730;;;;;0;;;;0;;;;Registro
44;33;Del Giro;77398220-1;MercadoLibre Chile LTDA;14979537;08/09/2026;08/09/2026 06:55:36;;0;33429;6351;;;39780;;;;;0;;;;0;;;;Registro
45;33;Del Giro;77209443-4;UBER PORTIER CHILE SPA;2843543;08/09/2026;08/09/2026 09:04:23;;0;9418;1790;;;11208;;;;;0;;;;0;;;;Registro
46;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;27660013;09/09/2026;09/09/2026 19:58:49;;0;194987;37046;;;237856;;;;;0;;;;0;18;3651;5;Registro
;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;27660013;09/09/2026;;;;;;;;;;;;;;;;;;25;2172;20.5;Registro
47;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;27663476;10/09/2026;10/09/2026 09:53:02;;0;26145;4967;;;31112;;;;;0;;;;0;;;;Registro
48;33;Del Giro;79984240-8;AGROSUPER COMERCIALIZADORA DE ALIMENTOS LTDA.;102448428;10/09/2026;10/09/2026 10:18:52;;0;199753;37954;;;237707;;;;;0;;;;0;;;;Registro
49;33;Del Giro;50340420-6;SANCHEZ Y CIA. LTDA.;4032176;10/09/2026;10/09/2026 17:40:37;;0;4193;797;;;4990;;;;;0;;;;0;;;;Registro
50;33;Del Giro;77137860-9;Comercial K SpA;1542960;10/09/2026;10/09/2026 21:19:05;;0;141554;26895;;;168449;;;;;0;;;;0;;;;Registro
51;33;Del Giro;76029743-7;Alvi Supermercado Mayorista S.A;2023754;11/09/2026;11/09/2026 09:35:41;;0;92109;17501;;;109610;;;;;0;;;;0;;;;Registro
52;33;Del Giro;76029743-7;Alvi Supermercado Mayorista S.A;2023755;11/09/2026;11/09/2026 09:38:02;;0;5958;1132;;;7090;;;;;0;;;;0;;;;Registro
53;61;Del Giro;96689310-9;TRANSBANK S.A.;12631225;31/08/2026;02/09/2026 10:37:58;;0;11356;2158;;;13514;;;;;0;;;;0;;;;Registro
54;61;Del Giro;96689310-9;TRANSBANK S.A.;12665718;31/08/2026;02/09/2026 11:07:53;;0;2156;410;;;2566;;;;;0;;;;0;;;;Registro
1;33;Del Giro;83614800-2;ARIZTIA COMERCIAL LTDA.;39219491;02/09/2026;03/09/2026 03:14:45;;0;69000;13110;;;82110;;;;;0;;;;0;;;;Pendiente
2;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5777048;03/09/2026;03/09/2026 05:16:12;;0;116835;22200;;;139035;;;;;0;;;;0;;;;Pendiente
3;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;984635;03/09/2026;03/09/2026 07:56:31;;0;57685;10960;;;68645;;;;;0;;;;0;;;;Pendiente
4;33;Del Giro;76022693-9;COMERCIAL FRUTALVENTO LIMITADA;2107;03/09/2026;03/09/2026 11:33:27;;0;37256;7079;;;44335;;;;;0;;;;0;;;;Pendiente
5;33;Del Giro;76113783-2;Nano Mall Marina Arauco;395175;03/09/2026;03/09/2026 12:25:35;;0;8390;1594;;;9984;;;;;0;;;;0;;;;Pendiente
6;33;Del Giro;76168557-0;Distribuidora Arizona Limitada;1258337;03/09/2026;03/09/2026 14:08:39;;0;63360;12038;;;75398;;;;;0;;;;0;;;;Pendiente
7;33;Del Giro;96863570-0;INMOBILIARIA MALL VI?A DEL MAR?S.A.;262034;03/09/2026;03/09/2026 16:42:35;;0;1195440;227134;;;1422574;;;;;0;;;;0;;;;Pendiente
8;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3669976;04/09/2026;03/09/2026 17:40:49;;0;35304;6708;;;42012;;;;;0;;;;0;;;;Pendiente
9;33;Del Giro;96863570-0;INMOBILIARIA MALL VI?A DEL MAR?S.A.;262408;03/09/2026;03/09/2026 18:06:05;;18103;1754106;333280;;;2105489;;;;;0;;;;0;;;;Pendiente
10;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104910869;04/09/2026;04/09/2026 00:23:37;;0;82643;15702;;;104485;;;;;0;;;;0;27;6140;10;Pendiente
11;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5779036;04/09/2026;04/09/2026 04:20:59;;0;404539;76863;;;501629;;;;;0;;;;0;18;20227;5;Pendiente
12;33;Del Giro;79921330-3;DPS CHILE COMERCIAL LIMITADA.;2464234;04/09/2026;04/09/2026 09:40:27;;0;324970;61744;;;386714;;;;;0;;;;0;;;;Pendiente
13;33;Del Giro;77544666-8;ALIMENTOS SURANDES LIMITADA;24938;04/09/2026;04/09/2026 09:52:30;;0;38000;7220;;;45220;;;;;0;;;;0;;;;Pendiente
14;33;Del Giro;96960800-6;GASVALPO SPA.;270698;04/09/2026;04/09/2026 12:56:28;;0;891454;169376;;;1060830;;;;;0;;;;0;;;;Pendiente
15;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;14071;05/09/2026;04/09/2026 17:36:25;;0;32660;6205;;;38865;;;;;0;;;;0;;;;Pendiente
16;33;Del Giro;83614800-2;ARIZTIA COMERCIAL LTDA.;39254748;04/09/2026;05/09/2026 02:50:28;;0;55200;10488;;;65688;;;;;0;;;;0;;;;Pendiente
17;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8373;05/09/2026;05/09/2026 10:46:39;;0;51125;9714;;;60839;;;;;0;;;;0;;;;Pendiente
18;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5781137;07/09/2026;07/09/2026 05:14:23;;0;207344;39395;;;257106;;;;;0;;;;0;18;10367;5;Pendiente
19;33;Del Giro;76942953-0;JUSTO SPA;578064;07/09/2026;07/09/2026 05:38:15;;0;40878;7767;;;48645;;;;;0;;;;0;;;;Pendiente
20;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;986071;05/09/2026;07/09/2026 08:58:39;;0;68817;13075;;;81892;;;;;0;;;;0;;;;Pendiente
21;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9746834;08/09/2026;07/09/2026 15:18:46;;0;68996;13109;;;82105;;;;;0;;;;0;;;;Pendiente
22;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9746835;08/09/2026;07/09/2026 15:18:46;;0;31878;6057;;;37935;;;;;0;;;;0;;;;Pendiente
23;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;14134;08/09/2026;07/09/2026 17:51:42;;0;18840;3580;;;22420;;;;;0;;;;0;;;;Pendiente
24;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104958719;08/09/2026;08/09/2026 00:06:44;;0;224514;42658;;;293612;;;;;0;;;;0;271;20040;18;Pendiente
;33;Del Giro;93281000-K;Coca Cola Embonor S.A.;104958719;08/09/2026;;;;;;;;;;;;;;;;;;27;6400;10;Pendiente
25;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;986461;08/09/2026;08/09/2026 08:19:53;;0;60453;11486;;;71939;;;;;0;;;;0;;;;Pendiente
26;33;Del Giro;77141376-5;COMERCIAL BESTFRUIT SPA;8385;08/09/2026;08/09/2026 09:03:38;;0;41843;7950;;;49793;;;;;0;;;;0;;;;Pendiente
27;33;Del Giro;78442738-2;BENBO ORIGINAL SPA;416;08/09/2026;08/09/2026 10:00:23;;0;36303;6898;;;43201;;;;;0;;;;0;;;;Pendiente
28;33;Del Giro;77544666-8;ALIMENTOS SURANDES LIMITADA;24991;08/09/2026;08/09/2026 10:12:49;;0;178500;33915;;;212415;;;;;0;;;;0;;;;Pendiente
29;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3678666;09/09/2026;08/09/2026 17:20:56;;0;60005;11401;;;71793;;;;;0;;;;0;19;387;12;Pendiente
30;33;Del Giro;76382688-0;SUPPLAG SPA;41173;08/09/2026;08/09/2026 19:01:08;;0;139190;26446;;;165636;;;;;0;;;;0;;;;Pendiente
31;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5786046;09/09/2026;09/09/2026 03:14:13;;0;192938;36658;;;239243;;;;;0;;;;0;18;9647;5;Pendiente
32;33;Del Giro;96557910-9;Alimentos y Frutos S.A.;9753051;10/09/2026;09/09/2026 13:40:09;;0;93080;17685;;;110765;;;;;0;;;;0;;;;Pendiente
33;33;Del Giro;77264835-9;ALIMENTOS BIGGER LTDA;14161;10/09/2026;09/09/2026 17:46:20;;0;18400;3496;;;21896;;;;;0;;;;0;;;;Pendiente
34;33;Del Giro;79676110-5;Transporte y Comercial Tressa Ltda.;242647;10/09/2026;09/09/2026 17:51:21;;0;68250;12968;;;81218;;;;;0;;;;0;;;;Pendiente
35;33;Del Giro;83614800-2;ARIZTIA COMERCIAL LTDA.;39289150;09/09/2026;10/09/2026 03:34:48;;0;55200;10488;;;65688;;;;;0;;;;0;;;;Pendiente
36;33;Del Giro;76038019-9;PROCESADORA DE ALIMENTOS TRES EFE S.P.A.;987389;10/09/2026;10/09/2026 07:29:34;;0;43149;8198;;;51347;;;;;0;;;;0;;;;Pendiente
37;33;Del Giro;77271001-1;RINCON NATIVO SPA;2894;10/09/2026;10/09/2026 17:48:32;;0;10638;2021;;;12659;;;;;0;;;;0;;;;Pendiente
38;33;Del Giro;76111152-3;BIDFOOD CHILE S.A.;3684297;11/09/2026;10/09/2026 17:50:45;;0;83147;15798;;;98945;;;;;0;;;;0;;;;Pendiente
39;33;Del Giro;76382688-0;SUPPLAG SPA;41208;10/09/2026;10/09/2026 19:01:02;;0;503116;95592;;;598708;;;;;0;;;;0;;;;Pendiente
40;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5790258;11/09/2026;11/09/2026 04:30:16;;0;392995;74669;;;487314;;;;;0;;;;0;18;19650;5;Pendiente
41;33;Del Giro;77965620-9;IMPORTADORA Y ALIMENTOS ICB FOOD SERVICE SPA;5790257;11/09/2026;11/09/2026 04:30:16;;0;113213;21512;;;134725;;;;;0;;;;0;;;;Pendiente
42;33;Del Giro;79921330-3;DPS CHILE COMERCIAL LIMITADA.;2467119;11/09/2026;11/09/2026 09:50:17;;0;95270;18101;;;113371;;;;;0;;;;0;;;;Pendiente
43;33;Del Giro;50340420-6;SANCHEZ Y CIA. LTDA.;4013359;11/09/2026;11/09/2026 10:19:55;;0;5538;1052;;;6590;;;;;0;;;;0;;;;Pendiente
44;34;Del Giro;77630439-5;Operadora de Sistemas Electrónicos SPA;3381237;03/09/2026;03/09/2026 18:09:50;;51200;0;0;;;51200;;;;;0;;;;0;;;;Pendiente
45;34;Del Giro;96875230-8;RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.;8041893;06/09/2026;06/09/2026 12:41:43;;1449;0;0;;;1449;;;;;0;;;;0;;;;Pendiente
46;34;Del Giro;76496130-7;Sociedad Concesionaria Costanera Norte S.A.;12500766;08/09/2026;08/09/2026 17:07:02;;15280;0;0;;;15280;;;;;0;;;;0;;;;Pendiente
47;34;Del Giro;77722758-0;SOCIEDAD CONCESIONARIA RUTA 5 CHILLAN-COLLIPULLI S.A.;2101767;09/09/2026;09/09/2026 21:41:25;;240;0;0;;;240;;;;;0;;;;0;;;;Pendiente
